Uniprot_ACC	elm_identifier	start	stop	is_annotated	is_phiblastmatch	is_filtered	phiblast	topodomfilter	taxonfilter	structure
A7E2Y1	CLV_C14_Caspase3-7	1072	1076	False	False	False	False	False	False	False
A7E2Y1	CLV_C14_Caspase3-7	1212	1216	False	False	False	False	False	False	False
A7E2Y1	CLV_C14_Caspase3-7	39	43	False	False	False	False	False	False	False
A7E2Y1	CLV_C14_Caspase3-7	741	745	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1059	1061	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1171	1173	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1182	1184	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1200	1202	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1323	1325	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	145	147	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1464	1466	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1580	1582	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1594	1596	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1683	1685	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1706	1708	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1755	1757	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1847	1849	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1852	1854	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1864	1866	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	1903	1905	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	295	297	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	574	576	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	644	646	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	745	747	False	False	False	False	False	False	False
A7E2Y1	CLV_NRD_NRD_1	947	949	False	False	False	False	False	False	False
A7E2Y1	CLV_PCSK_FUR_1	1057	1061	False	False	False	False	False	False	False
A7E2Y1	CLV_PCSK_FUR_1	1180	1184	False	False	False	False	False	False	False
A7E2Y1	CLV_PCSK_FUR_1	1704	1708	False	False	False	False	False	False	False
A7E2Y1	CLV_PCSK_KEX2_1	1059	1061	False	False	False	False	False	False	False
A7E2Y1	CLV_PCSK_KEX2_1	1173	1175	False	False	False	False	False	False	False
