ID,Gene_name,Variant_effect,prediction,weight,prediction_envt,weight_envt
1,KCNQ1,missense,x,0,xxxx-xxxx,0000-0000
4,GJB3,missense,x,0,xxxx-xxxx,0000-0000
5,GJB3,missense,x,0,BBxx-xxxx,3200-0000
7,SLC26A4,missense,A,9,xxxA-AAAA,0009-9999
8,FOXI1,missense,E,3,xPPO-EBBx,0333-3210
9,CDH23,missense,x,0,xxxx-xxxx,0000-0000
10,ATP2B2,missense,x,0,xxxx-xxxx,0000-0000
14,CDH23,missense,A,9,AAAA-AAAA,9999-9999
15,CDH23,missense,A,2,xxxx-AAAA,0000-3333
17,DYNC2H1,missense,x,0,xxxx-xxxx,0000-0000
18,NPHS2,missense,x,0,xxxx-xxxP,0000-0001
20,PROKR2,missense,A,2,AAAA-AAAA,1222-4333
21,KAL1,missense,x,0,xxxx-xxxx,0000-0000
22,FGFR1,missense,x,0,xxxx-xxxx,0000-0000
24,FGFR1,missense,x,0,xxxx-xxxx,0000-0000
25,GNRHR,missense,x,0,xxxx-xxxx,0000-0000
26,GNRHR,missense,A,9,xPAA-AAAA,0599-9999
27,KAL1,missense,x,0,xxxx-xxxx,0000-0000
28,NSMF,missense,x,0,xxxx-xxxx,0000-0000
33,TJP2,missense,B,1,BEBB-xxxx,1111-0000
35,OTUD4,missense,x,0,xxxx-xxxx,0000-0000
36,RNF216,missense,x,0,xxxx-xxxx,0000-0000
37,EDNRB,missense,C,9,AAAA-GAAA,9999-9962
39,PARK7,missense,x,0,BBxx-xxxx,1100-0000
40,PINK1,missense,x,0,xxxx-xxBB,0000-0011
43,CYP1B1,missense,x,0,xxxx-xxxx,0000-0000
44,MYOC,missense,x,0,xxxx-xxxx,0000-0000
45,MYOC,missense,B,2,xxxx-BBBB,0000-3333
47,TYR,missense,A,9,AAAA-CGxx,9999-9400
48,OCA2,missense,x,0,xxxx-xxxx,0000-0000
50,OCA2,missense,x,0,xxxx-AAAA,0000-2333
54,FGG,missense,x,0,xxxx-xxxx,0000-0000
55,FGA,missense,x,0,xxxx-xxxx,0000-0000
56,SLC3A1,missense,x,0,xxxx-xxxx,0000-0000
57,SLC7A9,missense,x,0,xxxx-xxxx,0000-0000
58,SLC7A9,missense,x,0,xxxx-xxxx,0000-0000
59,SLC3A1,missense,x,0,xxxx-xxxx,0000-0000
61,FZD4,missense,x,0,AAAA-xxxx,6653-0000
62,LRP5,missense,B,2,BBBB-xxxx,3333-0000
63,HAMP,missense,x,0,BBBC-xxxx,9864-0000
66,LMNA,missense,A,9,AAAA-AAAA,9999-9999
67,GDAP1,missense,x,0,xxxx-xxxx,0000-0000
69,CPOX,missense,E,1,xxBE-EPxx,0011-1100
70,ALAD,missense,x,0,xxxx-xxxx,0000-0000
71,POLG,missense,x,0,xxxx-xxxx,0000-0000
72,SCN1A,missense,x,0,xxxx-xxxx,0000-0000
73,SCN2A,missense,x,0,xxxx-xxxx,0000-0000
75,GGCX,missense,x,0,xxxx-xxxx,0000-0000
76,PITX2,missense,x,0,xxxx-AAAA,0000-6999
78,KRT14,missense,A,9,AAAA-AAAA,9999-9999
79,KRT5,missense,x,0,xxxx-AAAA,0000-5999
80,F5,missense,C,9,xxAA-GAAA,0039-9999
84,HFE,missense,B,1,xBBB-Bxxx,0111-1000
86,KCNQ1,missense,x,0,xxxx-xxxx,0000-0000
87,KCNE1,missense,O,1,xxCP-POxx,0011-1100
88,KCNQ1,missense,x,0,BBBC-xxxx,3332-0000
