Gene name	Uniprot ACC
ABCC6	O95255
ABCC9	O60706
ALAD	P13716
ARL6	Q9H0F7
ATP2B2	Q01814-4
ATP2B3	Q16720
BAAT	Q14032
BBS1	Q8NFJ9
BBS10	Q8TAM1
BBS12	Q6ZW61
BBS2	Q9BXC9
BBS4	Q96RK4
BBS5	Q8N3I7
BBS7	Q8IWZ6
BBS9	Q3SYG4
BMPR2	Q13873
C10orf2	Q96RR1
CAV3	P56539
CCDC28B	Q9BUN5
CD2AP	Q9Y5K6
CDH23	Q9H251
CEP290	O15078
CEP41	Q9BYV8
CHD7	Q9P2D1
COL17A1	Q9UMD9
CPOX	P36551
CPT2	P23786
CYP1B1	Q16678
DFNB31	Q9P202
DSP	P15924
DUSP6	Q16828
DYNC2H1	Q8NCM8-2
EDA	Q92838
EDNRB	P24530
EMD	P50402
F5	P12259
FGA	P02671
FGFR1	P11362
FGG	P02679
FLRT3	Q9NZU0
FOXC1	Q12948
FOXI1	Q12951
FZD4	Q9ULV1
GCK	P35557
GDAP1	Q8TB36
GDNF	P39905
GGCX	P38435
GJB2	P29033
GJB3	O75712
GNRHR	P30968
GPR98	Q8WXG9
HAMP	P81172
HFE	Q30201
HMBS	P08397
HNF1A	P20823
HNF4A	P41235-4
IL10RA	Q13651
IL17RD	Q8NFM7
ITGA7	Q13683-7
JUP	P14923
KAL1	P23352
KCNA5	P22460
KCNE1	P15382
KCNE2	Q9Y6J6
KCNH2	Q12809
KCNJ10	P78508
KCNQ1	P51787
KISS1R	Q969F8
KRT14	P02533
KRT5	P13647
LAMA1	P25391
LAMB3	Q13751
LMBRD1	Q9NUN5
LMNA	P02545
LRP5	O75197
LRRK2	Q5S007
MFN2	O95140
MITF	O75030
MKKS	Q9NPJ1
MTR	Q99707
MYH7	P12883
MYH7B	A7E2Y1
MYO6	Q9UM54
MYO7A	Q13402
MYOC	Q99972
NEK1	Q96PY6
NEUROD1	Q13562
NEXN	Q0ZGT2
NOD2	Q9HC29
NPHS1	O60500
NPHS2	Q9NP85
NSMF	Q6X4W1-2
OCA2	Q04671
OTUD4	Q01804-3
PARK2	O60260
PARK7	Q99497
PCDH15	Q96QU1
PDX1	P52945
PDZD7	Q9H5P4
PINK1	Q9BXM7
PITX2	Q99697-3
POLG	P54098
PRF1	P14222
PROK2	Q9HC23
PROKR2	Q8NFJ6
PRPH2	P23942
PYGM	P11217
RAB27A	P51159
RBM20	Q5T481
RET	P07949
RNF216	Q9NWF9-1
ROM1	Q03395
SCN1A	P35498
SCN2A	Q99250
SCN5A	Q14524
SGCB	Q16585
SGCD	Q92629
SLC26A4	O43511
SLC3A1	Q07837
SLC45A2	Q9UMX9
SLC7A9	P82251
SPRY4	Q9C004
STX11	O75558
STXBP2	Q15833
TACR3	P29371
TJP2	Q9UDY2
TMPRSS3	P57727
TTC8	Q8TAM2-4
TTN	Q8WZ42
TYR	P14679
UNC13D	Q70J99
UROD	P06132
USH1C	Q9Y6N9
USH2A	O75445
WNT10A	Q9GZT5
WT1	P19544
