ID,Gene_name,Variant_effect,ELMIdentifier,startstop,comm,Accession,FunctionalSiteName,Description,Regex,Probability,#Instances,#Instances_in_PDB
rs544407865,RBM20,missense,LIG_WD40_WDR5_VDV_2,804-811,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs544407865,RBM20,missense,LIG_WD40_WDR5_VDV_2,805-811,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs200762526,F5,missense,LIG_WD40_WDR5_VDV_2,1364-1370,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs200762526,F5,missense,LIG_WD40_WDR5_VDV_2,1365-1370,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs200762526,F5,missense,LIG_WD40_WDR5_VDV_2,1367-1370,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs536528003,MYO7A,missense,LIG_WD40_WDR5_VDV_2,1944-1949,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs572315698,IL17RD,missense,LIG_WD40_WDR5_VDV_2,90-96,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs183729115,RET,missense,LIG_WD40_WDR5_VDV_2,396-402,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs201859063,ALAD,missense,LIG_WD40_WDR5_VDV_2,295-298,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
rs147415451,DSP,missense,LIG_WD40_WDR5_VDV_2,1722-1729,,ELME000365,"WDR5 WD40 repeat (blade 5,6)-binding ligand","Fungi-specific variant of the WDR5-binding motif that binds to a cleft between blades 5 and 6 of the WD40 repeat domain of WDR5, opposite of the Win motif-binding site, to mediate assembly of histone modification complexes.","[EDSTY].{0,4}[VIPLA][TSDEKR][ILVA]",0.0467786304,2,0
